sents,labels
hi noob,O T
PA DOENST UNDERSTAND THAT I HAVE COOLDOWNS ON SPELLS,C O O P P O S O O
REC,O
already,O
commend me,O P
X,O
fuck u,T P
u know him,P O P
HAHAIHAH [SEPA] am [SEPA] WHY YOU NO BLINK,O SEPA C SEPA O P O D
too ez,O S
end,O
still wd :D,O C O
LOL,O
ggwp,S
lol,O
ggw,O
pudge pick [SEPA] If cm pick ; yes [SEPA] If false ; yes,C O SEPA O C O O O SEPA O O O O
he is not coming back [SEPA] hahaha,P O O O S SEPA O
shut the fuck up viper,O O T O C
clash [SEPA] WTF,O SEPA T
like [SEPA] that team [SEPA] is hard to beat,O SEPA P O SEPA O O O O
Wtf,T
huge plays [SEPA] from downtown,O O SEPA O O
am against tb xD,C O C O
515 my ping,O P O
no,O
lol [SEPA] im only one there,O SEPA O O P P
rough game for old 4dr god [SEPA] but u know he will come back [SEPA] thats fam,O O O O O O SEPA O P O P O O S SEPA P O
jenau,O
just defend the tower [SEPA] ur fine [SEPA] top shud b though,O O O S SEPA P O SEPA S O S O
ggwp,S
YES [SEPA] 4 TOP [SEPA] NOW YOU GOT IT,O SEPA O S SEPA O P O P
thanks,O
lol,O
farmers keep cows dude,O O O P
freewin,O
gg ez,S S
later,O
hf,O
Lol,O
gg,S
1,O
GG WP,S S
we have given him [SEPA] a lot of secs,P O O P SEPA O O O O
B [SEPA] BH FUCKING PASIIVE MALEV,S SEPA C T O O
just play,O O
gg wp,S S
Where you at,P P O
bg,O
gg wp,S S
is the only hero that has spent less time in mid than the other lanes is centaur [SEPA] yet the bot and top towers are still up [SEPA] all that time im getting camped into the fucking ground [SEPA] and we get nothing done,O O O O P O O O O O S O O P S O C SEPA O O S O S S O O O SEPA P P O O O O O O T O SEPA O P O P O
reportet,O
report my team,S P O
sfs afk [SEPA] hit him,O S SEPA O P
Wp,S
wp,S
go win doom,S O C
gg,S
ty,O
bot [SEPA] 2 rapiers [SEPA] come get rapira [SEPA] i go top [SEPA] wp [SEPA] coem bot,S SEPA O D SEPA O O O SEPA P S S SEPA S SEPA O S
kk never give up,O O O O
thank god [SEPA] lol [SEPA] these guys,O O SEPA O SEPA P P
faggorts,T
slark,C
aiyo,O
sf mad,C O
Gg,S
geegee,O
[SEPA] fucking piece of shit,SEPA T O O T
commend me,O P
7 support,O S
aSA,O
are u retarded [SEPA] or smth,O P T SEPA O O
4k sky [SEPA] im calling it,O C SEPA O O P
:D [SEPA] worst [SEPA] voker,O SEPA O SEPA C
chill homies,O O
OK,O
new,O
we will see who will smile at last,P O O P O O O O
no tiene carrys regalen uno,O O S O O
RADIANT U ARE RETARDS,O P O T
ASD [SEPA] SADASDASDASD [SEPA] WHY,O SEPA O SEPA O
[SEPA] are you kidding,SEPA O P O
lag,O
lagging [SEPA] wtf,O SEPA T
ez slark,S C
GG [SEPA] so gg supp no ward [SEPA] GG [SEPA] your team gg guys [SEPA] we have pro dupp [SEPA] supp,S SEPA O S O O S SEPA S SEPA P O S P SEPA P O O O SEPA O
WAAAH THEY COUTNERPICKED,O P O
peace faggots,O T
gg [SEPA] most boring shit game ever,S SEPA P O T O O
gg wp,S S
alche acount buyer [SEPA] it seems,C O O SEPA P O
and,O
so bad,O O
russian boy nobody fuckin understand you [SEPA] so dont talk,O O P T O P SEPA O O O
bh and tinker pickers,C O C O
322,O
buy bacl,O O
KappaRoss is shit,O O T
wp,S
and his naaaaameeee iiiiiiiiis JOOOOOOOOOOOOOOOOOOOOOHN CEEEEEEEEEEEEEEEEEEEENA,O P O O O O
he reconnecting now,P O O
go creeps,S S
ff pls,S O
tienes que darme como 500 manos,O O O O O O
Fair,O
O O [SEPA] so it works through it [SEPA] ;_;,O O SEPA O P O O P SEPA O
hahaha [SEPA] oops [SEPA] lol,O SEPA O SEPA O
gg wp [SEPA] 5 [SEPA] nice,S S SEPA O SEPA O
then can see,O O O
WTF,T
ty,O
i make a snowangel now,P O O O O
ask to your mother [SEPA] if i have dick,O O P C SEPA O P O T
what are you fuckwits going on about,P O P O O O O
na,O
pro gyro,O C
:D,O
lol,O
VOLVO GIMME DONDO,O O O
haha,O
no,O
gg,S
cant kill [SEPA] U ALEREADY DEAD,O O SEPA P O T
no item ss,O O C
GGWP,S
we should have won this easily since its all melee [SEPA] but NOPE i had to buy the wards [SEPA] YUP DUMB as FUCK [SEPA] Sad game [SEPA] sigh,P O O O P O O P P O SEPA O O P O O O O S SEPA O T P T SEPA O O SEPA O
FOR YOU,O P
hes offline,O O
bug,O
it is okay lion,P O O C
ggwp,S
THIS TEAM IS TOO TRASH,P O O O O
Gg,S
wait please,O O
GG AM,S C
gg wp [SEPA] nice feed [SEPA] husk [SEPA] ;),S S SEPA O D SEPA C SEPA O
stfu trash qop,T O C
fuck you,T P
ez mid,S S
you said you come back,P O P O S
can you stop having invis,O P O O S
Why you talk,O P O
fucking noob,T T
no mid [SEPA] hey [SEPA] no mid [SEPA],O S SEPA O SEPA O S SEPA
cant farm lol [SEPA] ez for dk,O S O SEPA S O C
ggwp,S
please [SEPA] report him,O SEPA S P
viva la peru,O O T
ahahahaha,O
yolol,O
o0ur jug is afk,O C O S
kinda,O
omg i cannot play [SEPA] to much ping,O P O O SEPA O O O
tyhrue,O
lol [SEPA] do my best,O SEPA O P O
space boys,O O
gg,S
everyone knows who is real retard,P O P O O T
feeding time,S O
Wtf [SEPA] drop assault [SEPA] qop dropped assault to pick gem [SEPA] haha,T SEPA O T SEPA C O T O O D SEPA O
wards sold out map covered in sentrys jungle stacked [SEPA] nothing pleases this fucker,S O O O O O D S O SEPA P O P T
LOL [SEPA] LOL,O SEPA O
I dont think any of them actually mean to be mean it is just the language barrier,P O O P O P O O O O O P O O O O O
gg jugger,S C
tutututututut [SEPA] tutututut,O SEPA O
haha,O
like you honestly played like such rats,O P O O O P O
dat silence :D,O D O
Shhh shh please team chat,O O O O O
yes [SEPA] :D,O SEPA O
LOL,O
lol [SEPA] ok,O SEPA O
he is sumail bitches,P O O T
GG,S
mr,O
plz dude i will commend,O P P O O
end plsssss [SEPA] Like you walk up highground and win the game [SEPA] Very simple,O O SEPA O P O O O O O O O SEPA O O
im pucked up,O O O
just ruin [SEPA] both lanes,O O SEPA P S
ur refraction sucks my dick [SEPA] with radiance :D,P D T P T SEPA O D O
gg [SEPA] end plz,S SEPA O O
noobs,T
sup guys,S P
4vs5,O
nice smoke pugnoo,O D O
actually you unpause,O P O
ty,O
D E [SEPA] D E PLS D E,O O SEPA O O O O O
many creeps,P S
viva peru,O T
what is armour,P O O
EZ mmr,S D
blue afk [SEPA] can u please wait,O S SEPA O P O O
see [SEPA] lol,O SEPA O
Wew [SEPA] this void,O SEPA P C
X,O
gg wp,S S
wew [SEPA] wbahahha,O SEPA O
word,O
laugh when you steamroll a team real classy,O O P O O O O O
this team is blaming me when they fed 20 kills before 20 min [SEPA] clapclap [SEPA] space doesnt mean feed boys,P O O O P O P O O O O O O SEPA O SEPA O O O D O
aw [SEPA] aw,O SEPA O
he raqequited [SEPA] report this slardar,P O SEPA S P C
haha,O
where the fuck is ursa,P O T O C
why [SEPA] Why,O SEPA O
SLARK WTF,C T
happy :3,O O
gg wp,S S
ggwp,S
WTF [SEPA] THIS [SEPA] VOID [SEPA] AHAHAHHA,T SEPA P SEPA C SEPA O
[SEPA] hello gays how are you,SEPA O T O O P
dAMN SAD,O O
lee puck,O C
wtf,T
wp,S
fucking accoutn butters,T O O
lothar is for real better than bkb,D O O O O O D
rekt,O
no,O
This legion is shit,P C O T
gg,S
need kill me,O O P
EX DEEE,O O
GIVE IT TO ME IM WORTHIT,O P O P O O
alch no gift aghs [SEPA] :(,C O O D SEPA O
for [SEPA] dc first [SEPA] then we can talk later,O SEPA O O SEPA O P O O O
GGWP,S
Retard luna [SEPA] Relax,T C SEPA O
push [SEPA] ff,S SEPA S
booooooooooooooom,T
kk,O
Aw,O
ahahaha,O
PUSH [SEPA] PSUH,S SEPA O
see [SEPA] idiot,O SEPA T
what the fuck [SEPA] is bane doing here [SEPA] 4head,P O T SEPA O C O O SEPA O
COMMEND ME,O P
em,O
lol,O
lol,O
SOSI [SEPA] SOBAKA,O SEPA O
Hey [SEPA] please [SEPA] talk please [SEPA] blood [SEPA] pudge [SEPA] hey,O SEPA O SEPA O O SEPA S SEPA C SEPA O
:,O
gg,S
gg,S
cuck = retards who want to see their gfs get banged by different people [SEPA] you retard [SEPA] lmao,O O T P O O O P O O O O O O SEPA P T SEPA O
DIE,O
noob pudge,T C
gg wp,S S
seriously [SEPA] :D,O SEPA O
LMAO,O
SEA,O
it is autism,P O T
lel [SEPA] all day man,O SEPA P O P
YA EZ [SEPA] BUT 25 [SEPA] ROFL [SEPA] XAXAXAXAXAXAXAX [SEPA] OHWWWWWWWW [SEPA] EZ 25 [SEPA] T t [SEPA] ROFL,O S SEPA O O SEPA S SEPA O SEPA O SEPA S O SEPA O O SEPA S
who cares,P S
for mother russia [SEPA] :D,O C O SEPA O
yep [SEPA] i rule,O SEPA P O
gg,S
yeah,O
i go repport you [SEPA] Rdy,P S O P SEPA O
no satanic but still cant kill,O D O O O O
Ez [SEPA] ez feeding [SEPA] lucky,S SEPA S S SEPA O
cool man,O P
gg,S
lllol,O
guys [SEPA] bets,P SEPA O
chen solo tiny [SEPA] wanna see [SEPA] aww,C S C SEPA O O SEPA O
Hahaha,O
Ez hc ez midlane,S O S S
gg report AM plz,S S C O
Run bitch,O T
sry,O
reportwk,O
juijked,O
lol,O
ggwp all,S P
AA is still fixing his bathroom door [SEPA] or whatever,C O O O P O O SEPA O P
hi,O
we lost,P O
noob gyro [SEPA] cant play,T C SEPA O O
go woods [SEPA] jesus,S S SEPA O
he cok jupuk stack ku yo,P T O O O O
lol,O
fuck you silencer,T P C
we will los,P O O
hahahh wrong click,O O O
haha,O
gg,S
tactical pause,O O
they check rosh even tho it died 3 mins agio [SEPA] fucking playing with braidnead monkeys,P O S O O P O O O O SEPA T O O O O
Lord of trash talk,O O O O
lol gagos,O O
wan end le,O O O
too much feed,O O D
let us have a gg everyone [SEPA] glhf,O P O O S P SEPA S
g,O
HAHA LINA STILL ACT LIKE A PRO [SEPA] WTGF [SEPA] SO NC,O C O O O O O SEPA O SEPA O O
HeyWk,O
All report sf TA,P S C C
just make some mistakes,O O P O
JOKE,O
i bet,P O
fuck la [SEPA] 2 games all lose [SEPA] wp team [SEPA] wp mid,T O SEPA O O P O SEPA S O SEPA S S
gg,S
your friend,P O
FUCK OUTA HERE,T O O
30 sec [SEPA] omg,O O SEPA O
gg,S
gg,S
yuuo,O
XD,O
atlast,O
they offline on steam,P O O O
lol,O
ff,S
gg,S
why,O
gg wp,S S
WTF IS UR PROBKME,T O P O
wp [SEPA] no,S SEPA O
end please,O O
gg,S
wk is now mario 3 lives,O O O O O O
mga bobo,O O
gg,S
haha,O
hes bad,O O
alrdy dead,O T
lel,O
kek,O
gg,S
how we won u have omni,O P O P O C
gg,S
g,O
hahaha,O
haha [SEPA] ggwp,O SEPA S
:3,O
gg,S
ez,S
them like dei 1by 1 [SEPA] especially invoker,P O O O O SEPA O C
noob carry,T S
gg,S
ff [SEPA] [SEPA] ffs,S SEPA SEPA T
yep,O
sad ryt,O O
FACTAS [SEPA] captain obvious [SEPA] captain obvious [SEPA] captain obvious [SEPA] captain obvious [SEPA] captain obvious,O SEPA O O SEPA O O SEPA O O SEPA O O SEPA O O
GG,S
you lost game,P O O
ok show me mid,O O P S
Ty,O
WHAT A,P O
TERASH,O
cunts dragged it for no reason lol,T O P O O O O
just report lc for afk farming the whole time,O S D O S S O O O
commend me,O P
hahahahaha,O
ggwp,S
gg,S
wait,O
pls report all this fucking riki,O S P P T C
please just ff,O O S
#ERROR!,O
Their Offlane,P S
hahaha,O
gg wp,S S
aw <3,O O
ez,S
spends the wholle game telling us off,O O O O O P S
sorry to interrupt,O O O
gg wp ez mid ez game,S S S S S O
OOOPPPS,O
gg wp,S S
care ur items,S P O
u are izi yeah if u think,P O O O O P O
gg,S
gg,S
easy 1k [SEPA] 1k gold [SEPA] 2k lost in a row [SEPA] dead crow,O O SEPA O O SEPA O O O O O SEPA T S
you won this [SEPA] come and finish,P O P SEPA O O O
ebaty,O
aaa SAMUEL ROKET,C O O
so dont paly it,O O O P
he is online [SEPA] 1 min,P O O SEPA O O
lolz,O
introboys,O
that PA is meepo noob,P C O C T
report [SEPA] tb [SEPA] thanks,S SEPA C SEPA O
hahaha [SEPA] fkcing 20 ping,O SEPA T O O
yes,O
but you have a bh,O P O O C
XD,O
Trash,O
REPORT WINDRANNER,S O
Who picks this hero,P O P O
wow fuck u inveokr [SEPA] report ember ty [SEPA] he doint take third ability [SEPA] fucking noob,O T P O SEPA S C O SEPA P O S O O SEPA T T
puck got juked hard core [SEPA] lol [SEPA] thought iw ent down the hill,C O S O O SEPA O SEPA O O O O O O
wp cm,S C
ty for pause,O O O
ye this SF is a fucking cock,P P C O O T T
wow,O
doom [SEPA] come here,C SEPA O O
gg,S
lo,O
phaton and juguer [SEPA] rat kids,O O O SEPA S O
fucking pinoy peruvian,T O O
aghs so good,D O O
yuep,O
H H AH H ha2h2hh2h232h2ha [SEPA] K P A C U B O,O O O O O SEPA O O O O P S O
wrong click [SEPA] fuck,O O SEPA T
i know it was not serious,P O P O O O
commend me ty,O P O
glhf,S
WAIT RYAN GOULD,O O O
play,O
ty,O
gg wp [SEPA] ez,S S SEPA S
are u a pusher [SEPA] or a businessman,O P O O SEPA O O O
RIP DEVIL,O O
he is no in steam [SEPA] check this,P O O O O SEPA O P
nug,O
dazzle dead [SEPA] moral victory,C T SEPA O O
he will get it on 18,P O O P O O
gl,S
zues,O
check,O
REPORT DROW,S C
yes,O
np,O
LOL,O
you are not me,P O O P
lol,O
3,O
jajajajja,O
LOL,O
ez 1v2 mid,S O S
lol,O
ez,S
qweeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee [SEPA] zzzzzzzzzzzzzzzzzzzzzzzz,O SEPA O
FUCK,T
hahahaha,O
slank [SEPA] u so noob [SEPA] u think u pro,O SEPA P O T SEPA P O P O
REPORT BALANAR TY,S C O
lol,O
wp,S
gg,S
ya,O
i from japan [SEPA] nippon <3,P O O SEPA O O
Why the hell do u not have buyback,O O O O P O O O
i dont speak french,P O O O
here we go [SEPA] fuckin beaner [SEPA] in my ear,O P S SEPA T T SEPA O P O
i just hook,P O T
told you GG finish the game,O P S O O O
ur invoker got raped [SEPA] mid [SEPA],P C O T SEPA S SEPA
wew,O
am and spec late game [SEPA] GG already,C O O O O SEPA S O
xDD,O
FUCKING EZ,T S
what jugg,P C
gg wp,S S
noooooooooooooooooooooooo [SEPA] :D,O SEPA O
ez [SEPA] Ez,S SEPA S
rofl [SEPA] them plays [SEPA] definitely an entertaining game,S SEPA P O SEPA O O O O
lol,O
ogh [SEPA] really [SEPA] ok,O SEPA O SEPA O
no fucking way,O T O
thx,O
still you broke us [SEPA] wpo,O P O P SEPA O
nice,O
never in asingle fihgt [SEPA] with dazle [SEPA] with tp [SEPA] thats how trash is he [SEPA] wonder why ioahd hi mmuted,O O O O SEPA O C SEPA O S SEPA P O O O P SEPA O O O O O
ggwp,S
:),O
Rofl,S
[SEPA] wow [SEPA] nice strat p aise,SEPA O SEPA O O O O
gg,S
wait so aa you block my ulti,O O C P S P S
such a mother fucker [SEPA] is dat,P O C T SEPA O O
GG [SEPA] End,S SEPA O
Same,O
haha [SEPA] idiot,O SEPA T
no man,O P
no warding,O O
muah [SEPA] :D,O SEPA O
dont be salty [SEPA] cause you got fucking demolished by a clock [SEPA] salty [SEPA] i guess i would be too if i got rekt THAT hard,O O O SEPA O P O T O O O C SEPA O SEPA P O P O O O O P O O P O
lol :D we dont care,O O P O S
Why u so quiet,O P O O
ivno lkixo,O O
wew,O
gg,S
you bad [SEPA] ez,P O SEPA S
eze,S
gg,S
ggwp,S
Wew,O
SURE SURE [SEPA] THEY ALMOST WON YOU THE GAME,O O SEPA P O O P O O
gg,S
1 only,O O
let us finish,O P O
im coming for you,O O O P
itS MADE OF COAL,P O O O
a good song,O O O
ggwp,S
lol,O
didnt know that,O O P
EZ M D [SEPA] NOOB snip,S O O SEPA T O
finish,O
nice bait,O S
gg,S
da yje na raslabone,O O O O
hahaha,O
12 am [SEPA] sry no time,O C SEPA O O O
gg,S
just report slark and 5:18 pudge,O S C O O C
COMMEND ME [SEPA] FOR PLAYING,O P SEPA O O
fuckyou,T
sad,O
sorry,O
gg wp,S S
show me ur skillz at battlefield m8 [SEPA] i rek u,O P P S O O O SEPA P O P
you should leave wsilencer and we remake deal,P O O O O P O O
mid noob plus wk noob [SEPA] wala talo talga,S T O O T SEPA O O O
wait ty,O O
for a king [SEPA] Bow to ur king,O O C SEPA O O P C
wew,O
HALLO,O
that was bs,P O S
that hook,P T
Hayo,O
GG,S
rofl [SEPA] lold [SEPA] qop,S SEPA O SEPA C
gg,S
xd,O
zz,S
haha,O
died,O
and we have fvcking two cuirass SVEN AND SF [SEPA] sad,O P O T O O C O C SEPA O
wazzup man [SEPA] Hi,O P SEPA O
Dumb ass,T T
LOL luna is talking shit,O C O O T
ty,O
fuck uy,T O
way too heavy,O O O
np seem so mad lol [SEPA] ur frist game win,O O O O O SEPA P O O O
CAUSE ALWAYS DEAD,O O T
gg wp,S S
i dont now,P O O
BAT,C
D,O
lol,O
report sf now,S C O
shhh,O
nice game [SEPA] 3v 7,O O SEPA O O
cafe time gone [SEPA] :S,O O O SEPA O
never give up comeback is possible,O O O O O O
tactic,O
ya,O
good for ya,O O O
what a noob :D [SEPA] report SF,P O T O SEPA S C
gg,S
;( [SEPA] keep using every ultimate u got,O SEPA O O O O P O
hows that get suicide,O P O O
supports CAN win games [SEPA] dont act like ur good cunt,S O O O SEPA O O O P O T
k blame blame,O O O
talk shit carry i had to join bot and die 4 time bot to save that shit lane,O T S P O O O S O O O O S O O P T S
idk,O
gg,S
alright purp,O O
; d,O O
annoying [SEPA] clinkz [SEPA] from the start,O SEPA C SEPA O O O
YOU OKATY BRO,P O P
6100 ACC BUYER [SEPA] WTF,O O O SEPA T
gg,S
AHAHHA,O
tool,O
lmao [SEPA] HAHAAHHA,O SEPA O
retard shitstain cent,T T C
ggwp,S
rec,O
tusk ranged hero,C O O
oooooooo,O
LOOOL [SEPA] WHAT A PLAYER [SEPA] ti6,O SEPA P O O SEPA O
nice headshots [SEPA] u fucking cocksucker [SEPA] die noob,O O SEPA P T T SEPA O T
vs saying qop noob,O O C T
alwkawkakw,O
1 more long minute,O O O O
PLS FF [SEPA] FF PLS,O S SEPA S O
EL LISAJ PARNI,O O O
jug really,C O
Ggwp,S
gg,S
well played,O O
BUT WHY YOU HAVE META LIKE LODA [SEPA] SHIT [SEPA] NOOBEST ALCHE,O O P O O O O SEPA T SEPA T C
takes 3 [SEPA] and,O O SEPA O
see our carry,O P S
you useless lucky noob [SEPA] you win purely on volvo shit mm placing me with these dumb dumbs,P O O T SEPA P O O O O T O O P O P T O
mb end,O O
rofl [SEPA] why will u trah [SEPA] trash [SEPA] ure jsut a noob,S SEPA O O P O SEPA O SEPA O O O T
spectre from england but cant even talk english so sad,C O O O O O O O O O
zzz,O
sad that you give me ez lv early game and i rape,O P P O P S O O O O P T
WOHOOOOOOOOOO [SEPA] OH YEAHHHHHHHHHH,O SEPA O O
gg,S
:D,O
ha,O
report for afk in fountain,S O S O S
kill you void [SEPA] 1k,O P C SEPA O
sry misklik,O O
q,O
hahahah lolz ur the noob that died,O O P O T P O
gg [SEPA] ff,S SEPA S
gg,S
in ur jungle [SEPA] no is our sf too fucking pro [SEPA] always 4 againts 5,O P S SEPA O O P C O T O SEPA O O O O
haha,O
fail mid,O S
haha [SEPA] haha [SEPA] why me clock,O SEPA O SEPA O P C
u are so lucky,P O O O
lol,O
wala gg atras abante kasi ampota [SEPA] mga bobo,O S O O O O SEPA O O
he is samuel,P O O
commend jugg,O C
noob,T
lol,O
gg,S
Fv on your farming site,O O P S O
lol,O
He does not say anothing [SEPA] must be dropping,P O O O O SEPA O O O
dream on,O O
#ERROR!,O
AXxaxa [SEPA] XAxaxaxaxaxa [SEPA] bring more [SEPA] i feel that i play like 1 vs 9,O SEPA O SEPA O O SEPA P O P P O O O O O
HAHA,O
idiot fucker [SEPA] die aids,T T SEPA O O
ty,O
ez tactical afkk,S O O
gg wp,S S
report,S
gg wp,S S
sad,O
Learn english,O O
nice fuckin support [SEPA] 0 vision on map [SEPA] so what i should gank [SEPA] hmm,O T S SEPA O O O O SEPA O P P O S SEPA O
wp [SEPA] you got me,S SEPA P O P
here we go boys,O P S O
that [SEPA] astral,P SEPA O
plz,O
BARA ITS BECIAE U FICKONG BLAME RISSOANS [SEPA] I DESERVE TO LOSE,C P O P O O O SEPA P O O O
:v,O
OMG,O
FUCJ,O
nice idea btw,O O O
alive [SEPA] what the fuck,O SEPA P O T
dumpster,O
rdnt,O
I will rape your mother with a shoehorn,P O T P C O O O
wut,O
q sups lixo [SEPA] wtf,O O O SEPA T
okl,O
Are you talking shit when it is 14,O P O T O P O O
1min [SEPA] tq,O SEPA O
i got 103,P O O
fuck team,T O
nope,O
They cry [SEPA] LOST GAMe,P O SEPA O O
im a girl,O O P
min 0 bottle crow,O O D S
it is basically useless farming mid for 20 mins,P O O O S S O O O
OMG [SEPA] 50 min fb,O SEPA O O S
Rofl,S
dont blame me if u noob,O O P O P T
nice hieroglyphics,O O
ure the slut,O O T
noob bitch,T T
for seriously lol,O O O
you have to win and all [SEPA] no one deserve it,P O O O O P SEPA O P O P
gg fun game,S O O
Little snake,O O
hi slardar [SEPA] zzzzzzzzzz,O C SEPA O
lol [SEPA] really,O SEPA O
sf gv u back,C O P S
holy fuck this is a shit tier game,O T P O O T O O
too hard,O O
why r u so mean,O O P O O
one [SEPA] lothar [SEPA] my mid [SEPA] arcane boots,P SEPA D SEPA P S SEPA D D
EZ,S
ez breez,S O
you love me [SEPA] dont you wk,P O P SEPA O P O
WHAT [SEPA] NOOOOO,P SEPA O
please,O
He said rc,P O O
shape of golum or shape of doom,O O O O O O C
wtf,T
Fuck off with your bear,T S O P O
shaman why always me x x,O O O P O O
i cant [SEPA] left 2 games before,P O SEPA O O O O
useless qop ever,O C O
its not good game fuck you all,P O O O T P P
feeler,O
report naga,S C
if I wanted a fps,O P O O O
gg,S
iT WAS EZ [SEPA] hEHE,P O S SEPA O
shit,T
kiolll me [SEPA] nice,O P SEPA O
report brood,S C
gg [SEPA] retarded game actually,S SEPA T O O
v,O
haha,O
rc,O
he droped his items,P O P O
razor aa and riki not enough to finish,C C O C O P O O
CAUSE ITS THE YEAR,O P O O
2171,O
Ez,S
yeah im fuming,O O O
nope,O
where gt [SEPA] u kee kill me,P O SEPA P O O P
xaxa,O
please dont def,O O O
we have 8 enemy [SEPA] 2 vs 8 [SEPA] sad,P O O T SEPA O O O SEPA O
lmao,O
give chance sir,O O O
1 7,O O
i mean his name is life sux and no avatar,P O P O O O O O O O
pls report sb for ruining game on purpose [SEPA] thanks [SEPA] all i want from this game,O S C O O O O O SEPA O SEPA P P O O P O
game of throws,O O S
ZZZ,O
nice nice,O O
cant report [SEPA] already reported,O S SEPA O O
wait,O
LOL,O
nice one,O P
gg,S
gg,S
lol es,O C
who does that [SEPA] bor im 1 person [SEPA] rofl,P O P SEPA O O O O SEPA S
win game,O O
25 [SEPA] god damn [SEPA] lmao [SEPA] ggwp,O SEPA O O SEPA O SEPA S
yes,O
wait,O
JUAS JUAS,O O
dude is he online [SEPA] i dont think so,P O P O SEPA P O O O
doom will kill you,C O O P
not fr avicii,O O O
gg la,S O
schwanz,O
amazing bh [SEPA] fatfuck,O C SEPA T
Gg,S
FEEED ME MORE,O P O
gg,S
lololol,O
yet his item so sad lol,O P O O O O
gg wp,S S
gg,S
wtf :D,T O
ty good to know,O O O O
gg,S
must listen to my grand mother dont give hc to stupid people :(,O O O P O C O O O O T O O
where is justice,P O O
ok [SEPA] g,O SEPA O
eheh,O
dive fountain its report or no comment,S S P S O O O
ahhaha [SEPA] ez qop shit,O SEPA S C T
ggwp,S
lol,O
SAD BUT TRUE,O O O
RETARDED NO BRAI SHIT,T O O T
fuck,T
come [SEPA] wolf [SEPA] 2nd camp,O SEPA O SEPA O S
wow [SEPA] haha,O SEPA O
hs dts,O O
gg wp report blood [SEPA] end fast,S S S S SEPA O O
YA,O
I think that was the issue [SEPA] like no gap closers [SEPA] can kite all day [SEPA] dazzle also max poison [SEPA] questionable afaik,P O P O O O SEPA O O O O SEPA O S P O SEPA C O O O SEPA O O
lion tell them no shoes also can get haste,C O P O O O O O S
fucking done,T O
no have wards u u,O O S P P
i,P
one [SEPA] but just in general :(,P SEPA O O O O O
wowww,O
W8,O
[SEPA] 9 min dager bottle phase,SEPA O O D D D
rawr,O
ALchEmiST [SEPA] lOL [SEPA] ArcAne BooTS [SEPA] Team PLAyer AlchEMist,C SEPA O SEPA D D SEPA O O C
35 DEATH AT 15 [SEPA] is too much,O C O O SEPA O O O
Im pro,O O
baited,O
extend,O
PUDGE EZ,C S
ez,S
so i abandoned,O P O
XD [SEPA] GG,O SEPA S
ggwp,S
hahaha [SEPA] this pudge,O SEPA P C
LMAO [SEPA] 2 [SEPA] good game,O SEPA O SEPA O O
gg,S
he had like 5 stacks,P O O O O
LOL,O
lol pa manta [SEPA] hahahaha [SEPA] funniest shit,O C D SEPA O SEPA O T
end,O
its cool ill fake compliment u any day [SEPA] jk [SEPA] that was actually a good rocket [SEPA] meanwhile in snipers head [SEPA] pRO ASSASSINATE [SEPA] KILLELD HIM [SEPA] me : no euls [SEPA] fuck this clock [SEPA] only person who can fuck me over like this [SEPA] XDD,P O O O O P P O SEPA O SEPA P O O O O O SEPA O O C D SEPA O D SEPA O P SEPA P O O D SEPA T P C SEPA O O P O T P O O P SEPA O
they look like shit,P O O T
good luck going 2k wyvern,O O O O C
as always [SEPA] russians,P O SEPA O
GGWP,S
all my team [SEPA] are feeder [SEPA] fuck this life,P P O SEPA O S SEPA T P O
k,O
yea,O
wp,S
gguys pls reported voker [SEPA] 5 lvl quas,O O O C SEPA O O D
ty tiny,O C
Lol [SEPA] 17 minutes level 14 silencer,O SEPA O O O O C
THIS WIND [SEPA] RETARD,P C SEPA T
ok,O
you shiits,P O
salo [SEPA] omg,O SEPA O
ok [SEPA] one sec [SEPA] bringing cours,O SEPA P O SEPA O O
no1 did,O O
2mins [SEPA] too long [SEPA] talong,O SEPA O O SEPA O
where is ur friend,P O P O
gg,S
bash lord,O O
b top,S S
wtf,T
wolfie D :,O O O
ez mid,S S
shit cpt [SEPA] ff,T O SEPA S
gege,O
guys go straight mid,P S O S
FUCL U RIKI [SEPA] GAY PICKS DONT WIN GAMES,O P C SEPA T O O O O
going afk,O S
2mins more [SEPA] thanks,O O SEPA O
Ez pudge,S C
i Delete dotta 2 now,P O O O O
Haha,O
not you,O P
we cant,P O
i gave him free kill at top [SEPA] and he said im noob [SEPA] funny player,P O P O O O S SEPA O P O O T SEPA O O
wtf,T
luck,O
HOW CAN I KILL THIS TREE [SEPA] my ult wont work,O O P O P O SEPA P S O O
wp,S
Get fucked you useless rat,O T P O S
ebnutii pudg,O C
xd,O
coemd suport,O S
ty,O
easiest game of my life,O O O P O
Haha,O
gg,S
EZ [SEPA] EZ,S SEPA S
ok stfu now,O T O
motherfucker [SEPA] i hate u,T SEPA P O P
dc [SEPA] lol [SEPA] FU,O SEPA O SEPA T
NOOB [SEPA],T SEPA
that doesnt make any sense,P O O P O
ty for game,O O O
this game was such cancer,P O O P S
i tried,P O
